Sample,Species,PlantNo,Rep,Trt,Supp,ArrayID,AvgSeedCo,AJCount,CMCount,Underdev
1,Vtri,103,1,DD,U,A,44,Y,N,N
2,Vtri,162,1,DD,U,A,45,Y,N,N
3,Vtri,171,1,DD,S,A,52,N,Y,N
4,Vtri,199,1,DD,S,A,32,N,Y,N
5,Vtri,231,1,DD,U,A,52,N,Y,N
6,Vtri,148,1,DS,S,B,29,N,Y,N
7,Vtri,170,1,DS,U,B,30,Y,N,N
8,Vtri,193,1,DS,S,B,64,Y,N,N
9,Vtri,208,1,DS,U,B,67,N,Y,N
10,Vtri,226,1,DS,S,B,37,N,Y,N
11,Vtri,92,1,G,U,C,52,N,Y,N
12,Vtri,145,1,G,S,C,43,N,Y,N
13,Vtri,150,1,G,S,C,38,Y,N,N
14,Vtri,180,1,G,U,C,43,Y,N,N
15,Vtri,218,1,G,U,C,48,Y,N,N
16,Vtri,227,1,G,S,C,41,N,Y,N
17,Vtri,104,1,X,S,D,21,N,Y,N
18,Vtri,128,1,X,U,D,61,N,Y,N
19,Vtri,184,1,X,U,D,46,Y,N,N
20,Vtri,200,1,X,U,D,56,Y,N,N
21,Vtri,219,1,X,S,D,58,N,Y,N
22,Vtri,223,1,X,S,D,14,N,Y,N
23,Vtri,93,2,DD,U,E,20,N,Y,N
24,Vtri,132,2,DD,U,E,47,Y,N,N
25,Vtri,161,2,DD,U,E,53,N,Y,N
26,Vtri,178,2,DD,S,E,29,Y,N,N
27,Vtri,185,2,DD,S,E,54,Y,N,N
28,Vtri,228,2,DD,S,E,28,Y,N,N
29,Vtri,124,2,DS,S,F,42,Y,Y,N
30,Vtri,167,2,DS,U,F,51,Y,N,Y
31,Vtri,190,2,DS,S,F,67,N,Y,N
32,Vtri,207,2,DS,S,F,56,N,Y,N
33,Vtri,215,2,DS,U,F,49,Y,N,N
34,Vtri,224,2,DS,U,F,46,N,Y,N
35,Vtri,135,2,G,S,G,43,Y,N,N
36,Vtri,154,2,G,S,G,41,Y,N,N
37,Vtri,183,2,G,U,G,41,Y,N,N
38,Vtri,194,2,G,S,G,39,N,Y,N
39,Vtri,225,2,G,U,G,37,N,Y,N
40,Vtri,152,2,X,U,H,66,Y,N,N
41,Vtri,187,2,X,U,H,43,N,Y,N
42,Vtri,191,2,X,S,H,59,N,Y,N
43,Vtri,202,2,X,S,H,146,N,Y,N
44,Vtri,204,2,X,U,H,57,N,Y,N
45,Vtri,214,2,X,S,H,50,N,Y,N
46,Vtri,127,3,DD,U,I,39,Y,N,N
47,Vtri,146,3,DD,U,I,50,N,Y,N
48,Vtri,157,3,DD,U,I,47,N,Y,N
49,Vtri,166,3,DD,S,I,43,Y,N,Y
50,Vtri,192,3,DD,S,I,58,N,Y,N
51,Vtri,203,3,DD,S,I,109,Y,N,N
52,Vtri,125,3,DS,S,J,25,Y,N,Y
53,Vtri,169,3,DS,U,J,34,Y,N,N
54,Vtri,179,3,DS,S,J,14,Y,N,Y
55,Vtri,220,3,DS,S,J,28,Y,N,Y
56,Vtri,221,3,DS,U,J,34,Y,N,Y
57,Vtri,139,3,G,U,K,49,Y,N,N
58,Vtri,149,3,G,S,K,63,Y,N,N
59,Vtri,209,3,G,S,K,57,Y,N,N
60,Vtri,235,3,G,U,K,58,N,Y,N
61,Vtri,239,3,G,S,K,62,Y,N,N
62,Vtri,130,3,G,U,K,54,Y,N,N
63,Vtri,121,3,X,S,L,84,Y,N,N
64,Vtri,147,3,X,U,L,49,Y,N,N
65,Vtri,210,3,X,S,L,50,Y,N,N
66,Vtri,233,3,X,S,L,54,Y,N,N
67,Vtri,240,3,X,U,L,75,N,Y,N
68,Vtri,158,4,DD,U,M,43,Y,N,N
69,Vtri,172,4,DD,U,M,48,Y,N,N
70,Vtri,176,4,DD,S,M,47,N,Y,N
71,Vtri,188,4,DD,S,M,60,Y,N,N
72,Vtri,196,4,DD,U,M,59,Y,N,N
73,Vtri,211,4,DD,S,M,55,Y,N,N
74,Vtri,126,4,DS,S,N,32,Y,N,Y
75,Vtri,131,4,DS,U,N,54,Y,N,N
76,Vtri,136,4,DS,S,N,44,Y,N,N
77,Vtri,174,4,DS,U,N,39,Y,N,N
78,Vtri,206,4,DS,S,N,61,Y,N,N
79,Vtri,140,4,G,S,O,54,N,Y,N
80,Vtri,153,4,G,U,O,54,Y,N,N
81,Vtri,159,4,G,U,O,57,N,Y,N
82,Vtri,168,4,G,S,O,45,Y,N,N
83,Vtri,238,4,G,U,O,52,Y,N,N
84,Vtri,123,4,X,U,P,57,Y,Y,N
85,Vtri,143,4,X,U,P,42,N,Y,N
86,Vtri,160,4,X,U,P,16,Y,N,N
87,Vtri,165,4,X,S,P,47,N,Y,N
88,Vtri,189,4,X,S,P,58,N,Y,N
89,Vtri,195,4,X,S,P,39,N,Y,N
90,Vtri,163,5,DD,S,Q,47,Y,N,N
91,Vtri,173,5,DD,S,Q,41,N,Y,N
92,Vtri,182,5,DD,S,Q,51,Y,N,N
93,Vtri,197,5,DD,U,Q,0,N,Y,N
94,Vtri,205,5,DD,U,Q,45,Y,Y,Y
